Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime
[-0.5222157, 0.       ]; True; -200.0; 200; 1227.2274837044665; None; 0; 0.06887030601501465; None; 1763881107.283177
[-0.5550471, 0.       ]; False; -195.0; 195; None; None; 0; 0.06259751319885254; None; 1763881107.395325
[-0.5729807, 0.       ]; False; -137.0; 137; 3234.1513713290524; None; 0; 0.04490780830383301; None; 1763881107.395325
[-0.45639807, 0.        ]; False; -93.0; 93; None; None; 0; 0.030695676803588867; None; 1763881107.4583318
[-0.45570233, 0.        ]; False; -93.0; 93; 0.0; None; 0; 0.03125166893005371; None; 1763881107.4594874
[-0.4248159, 0.       ]; False; -86.0; 86; None; None; 0; 0.027360916137695312; None; 1763881107.5431242
[-0.49492913, 0.        ]; False; -158.0; 158; 1026.9101568045703; None; 0; 0.05430746078491211; None; 1763881107.5435786
[-0.52097064, 0.        ]; True; -200.0; 200; None; None; 0; 0.06542396545410156; None; 1763881107.6717453
[-0.53795165, 0.        ]; True; -200.0; 200; 0.0; None; 0; 0.06163954734802246; None; 1763881107.6717453
[-0.4842716, 0.       ]; False; -168.0; 168; None; None; 0; 0.05204415321350098; None; 1763881107.792034
[-0.50283295, 0.        ]; True; -200.0; 200; 1724.0113034989467; None; 0; 0.06626296043395996; None; 1763881107.79273
[-0.4061317, 0.       ]; False; -83.0; 83; None; None; 0; 0.026662349700927734; None; 1763881107.8491807
[-0.42210242, 0.        ]; False; -85.0; 85; 125.22927178813484; None; 0; 0.029452800750732422; None; 1763881107.8491807
[-0.50827307, 0.        ]; True; -200.0; 200; None; None; 0; 0.06431460380554199; None; 1763881107.9442945
[-0.4131913, 0.       ]; False; -84.0; 84; 1220.002448584275; None; 0; 0.02979874610900879; None; 1763881107.9442945
[-0.56862754, 0.        ]; False; -144.0; 144; None; None; 0; 0.04738950729370117; None; 1763881108.0561855
[-0.52844095, 0.        ]; True; -200.0; 200; 1393.4998806025935; None; 0; 0.06349825859069824; None; 1763881108.0561855
[-0.5001323, 0.       ]; True; -200.0; 200; None; None; 0; 0.05997276306152344; None; 1763881108.1715837
[-0.48569402, 0.        ]; False; -163.0; 163; 2562.6283291603795; None; 0; 0.05433964729309082; None; 1763881108.1715837
[-0.5781064, 0.       ]; False; -134.0; 134; None; None; 0; 0.04330897331237793; None; 1763881108.2821982
[-0.5356261, 0.       ]; True; -200.0; 200; 1553.661712274853; None; 0; 0.06630444526672363; None; 1763881108.2821982
[-0.48171663, 0.        ]; False; -111.0; 111; None; None; 0; 0.04092550277709961; None; 1763881108.3670707
[-0.48114, 0.     ]; False; -110.0; 110; 1734.168794252933; None; 0; 0.041529178619384766; None; 1763881108.3670707
[-0.5173835, 0.       ]; True; -200.0; 200; None; None; 0; 0.06897282600402832; None; 1763881108.5063913
[-0.5324178, 0.       ]; True; -200.0; 200; 0.0; None; 0; 0.06834006309509277; None; 1763881108.5074372
[-0.5809622, 0.       ]; False; -132.0; 132; None; None; 0; 0.044464111328125; None; 1763881108.619564
[-0.5216762, 0.       ]; True; -200.0; 200; 1146.9824562109036; None; 0; 0.06666302680969238; None; 1763881108.619564
