#{"t_start": 1777564348.779322, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,121.327967
-115.0,115,121.473791
-200.0,200,121.74692
-173.0,173,121.954069
-188.0,188,122.194514
-168.0,168,122.41672
-200.0,200,122.67597
-129.0,129,122.840326
-160.0,160,123.042467
-163.0,163,123.25306
-157.0,157,123.464555
-147.0,147,123.650832
-156.0,156,123.856482
-166.0,166,124.080704
-145.0,145,124.271496
-155.0,155,124.459321
-151.0,151,124.660449
-158.0,158,124.866458
-148.0,148,125.059903
-148.0,148,125.248745
-184.0,184,125.4963
-149.0,149,125.680006
-170.0,170,125.914448
-101.0,101,126.042635
-150.0,150,126.223503
-164.0,164,126.63341
-124.0,124,126.803278
-186.0,186,127.047325
-119.0,119,127.191097
-96.0,96,127.319726
-86.0,86,127.452862
-98.0,98,127.579051
-199.0,199,127.826714
-155.0,155,128.033155
-156.0,156,128.240709
-160.0,160,128.444845
-147.0,147,128.634391
-153.0,153,128.820354
-185.0,185,129.070458
-185.0,185,129.313019
-200.0,200,129.563407
-200.0,200,129.824127
-169.0,169,130.038246
-151.0,151,130.245991
-107.0,107,130.371279
-200.0,200,130.632713
-200.0,200,130.882148
-200.0,200,131.140717
-149.0,149,131.326398
-186.0,186,131.570736
-153.0,153,131.765275
-178.0,178,131.984681
-89.0,89,132.105723
-143.0,143,132.285865
-187.0,187,132.5423
-200.0,200,132.787348
-168.0,168,133.010829
-169.0,169,133.21445
-187.0,187,133.462695
-200.0,200,133.707294
-172.0,172,133.933514
-200.0,200,134.194689
-96.0,96,134.323237
-183.0,183,134.555875
-200.0,200,134.804542
-195.0,195,135.062718
-200.0,200,135.317822
-170.0,170,135.541039
-166.0,166,135.744986
-152.0,152,135.946915
-200.0,200,136.200043
-88.0,88,136.324099
-200.0,200,136.570952
-195.0,195,136.827209
