#{"t_start": 1763792408.3045774, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,105.093678
-200.0,200,105.403769
-200.0,200,105.826196
-200.0,200,106.130091
-200.0,200,106.45053
-200.0,200,106.758955
-200.0,200,107.114939
-200.0,200,108.158576
-200.0,200,108.592539
-166.0,166,108.806849
-200.0,200,109.106995
-166.0,166,109.342176
-143.0,143,109.567897
-125.0,125,109.778197
-200.0,200,110.064949
-142.0,142,110.39039
-140.0,140,110.591023
-200.0,200,110.899157
-153.0,153,111.16336
-188.0,188,111.45138
-158.0,158,111.671345
-200.0,200,111.976154
-200.0,200,112.537494
-200.0,200,112.828884
-135.0,135,113.025518
-141.0,141,113.235648
-182.0,182,113.530326
-200.0,200,113.825665
-146.0,146,114.029708
-200.0,200,114.326252
-145.0,145,114.65373
-133.0,133,114.853063
-153.0,153,115.091469
-150.0,150,115.342278
-200.0,200,115.67872
-97.0,97,115.843681
-200.0,200,116.10033
-151.0,151,116.34932
-200.0,200,116.793696
-200.0,200,117.098543
-129.0,129,117.310683
-105.0,105,117.459406
-112.0,112,117.652199
-198.0,198,117.965382
-142.0,142,118.152894
-170.0,170,118.519354
-200.0,200,119.000744
-176.0,176,119.338305
-200.0,200,119.617691
-119.0,119,119.841375
-150.0,150,120.094687
-189.0,189,120.400304
-111.0,111,120.63759
-173.0,173,121.078942
-196.0,196,121.390248
-149.0,149,121.60568
-200.0,200,121.932019
-200.0,200,122.209887
-154.0,154,122.417869
-130.0,130,122.616506
-164.0,164,123.084193
-200.0,200,123.806073
-200.0,200,124.116256
-159.0,159,124.347823
-125.0,125,124.549092
-200.0,200,124.867491
-200.0,200,125.180381
-181.0,181,125.780295
-189.0,189,126.08097
-171.0,171,126.384368
-200.0,200,126.692211
-132.0,132,126.872143
-200.0,200,127.182448
-179.0,179,127.441078
-200.0,200,128.024512
-154.0,154,128.239539
-195.0,195,128.537599
-166.0,166,128.801538
-194.0,194,129.112239
-166.0,166,129.356761
-185.0,185,129.637566
-122.0,122,129.925066
-167.0,167,130.309191
-158.0,158,130.541374
-196.0,196,130.817787
-140.0,140,131.056383
-133.0,133,131.271016
-143.0,143,131.495574
-129.0,129,131.703382
-158.0,158,132.130021
-152.0,152,132.46048
-183.0,183,132.715082
-146.0,146,132.903838
-199.0,199,133.157312
-200.0,200,133.448678
-147.0,147,133.63102
-144.0,144,133.821916
-160.0,160,134.028023
-178.0,178,134.416311
-113.0,113,134.556959
-147.0,147,134.769308
-150.0,150,134.982842
-149.0,149,135.192976
-200.0,200,135.463394
-126.0,126,135.625169
-200.0,200,135.901085
-97.0,97,136.060296
-134.0,134,136.375453
-143.0,143,136.602412
-109.0,109,136.776039
-149.0,149,136.995379
-106.0,106,137.133563
-106.0,106,137.293139
-149.0,149,137.518311
-167.0,167,137.766549
-147.0,147,137.963499
-129.0,129,138.226227
-139.0,139,138.612624
-139.0,139,138.818142
-152.0,152,139.029815
-136.0,136,139.199621
-113.0,113,139.346415
-109.0,109,139.501525
-160.0,160,139.72792
-122.0,122,139.915301
-151.0,151,140.284198
-200.0,200,141.209537
-156.0,156,141.426736
-109.0,109,141.593489
-142.0,142,141.783014
-143.0,143,141.980198
-89.0,89,142.11156
-153.0,153,142.314634
